rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)
phylum	17	3.6135812737402255	1803.2005910059563	0.12502305130361255	1.0	1.0	1.0	2.0	0.0	0.0	5.0	1.0	0.3016838857745198	0.1874467374254007	0.06251152565180627	1.0	1.0	5.0	0.0
phylum	16	3.6135812737402255	1803.2005910059563	0.026945500184510914	1.0	1.0	1.0	1.0	0.0	0.0	5.0	1.0	0.024192899292295372	0.015031893498585625	0.013472750092255457	1.0	1.0	5.0	0.0
phylum	15	3.6135812737402255	1803.2005910059563	0.1864224387570874	1.0	1.0	1.0	2.0	0.0	0.0	4.0	1.0	0.5912082194440946	0.42646658316239466	0.09321121937854371	1.0	1.0	4.0	0.0
phylum	14	3.6135812737402255	1803.2005910059563	0.21836948599221517	0.75	1.0	0.8571428571428571	2.0	0.0	1.0	3.0	0.75	0.48365680971365865	0.44024340042656407	0.10918474299610756	1.0	0.8571428571428571	3.0	0.0
phylum	13	3.6135812737402255	1803.2005910059563	0.02941130565163454	1.0	1.0	1.0	1.0	0.0	0.0	5.0	1.0	0.028305611097088044	0.01758726501867902	0.014705652825817272	1.0	1.0	5.0	0.0
phylum	12	3.6135812737402255	1803.2005910059563	0.05144483043829808	1.0	1.0	1.0	2.0	0.0	0.0	4.0	1.0	0.45251210617967125	0.3264184857638159	0.025722415219149038	1.0	1.0	4.0	0.0
phylum	11	3.6135812737402255	1803.2005910059563	0.08666044888037057	1.0	1.0	1.0	2.0	0.0	0.0	6.0	0.8333333333333334	0.3377012654204213	0.18847466483094039	0.043330224440185285	0.8333333333333334	0.9090909090909091	5.0	1.0
phylum	10	3.6135812737402255	1803.2005910059563	0.07669648047600935	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.1397668284928301	0.08684201323519708	0.03834824023800468	1.0	1.0	5.0	0.0
phylum	36	3.6135812737402255	1803.2005910059563	0.23831909377029906	1.0	1.0	1.0	3.0	0.0	0.0	5.0	0.8	0.9885453145337866	0.6142177383150612	0.11915954688514953	0.8	0.888888888888889	4.0	1.0
phylum	22	3.6135812737402255	1803.2005910059563	0.34575722405998277	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.568205379266896	0.40987354143739174	0.17287861202999139	1.0	1.0	4.0	0.0
phylum	37	3.6135812737402255	1803.2005910059563	0.028815119112853872	1.0	1.0	1.0	3.0	0.0	0.0	5.0	0.8	0.6603494360366706	0.4102981736263213	0.014407559556426936	0.8	0.888888888888889	4.0	1.0
phylum	50	3.6135812737402255	1803.2005910059563	0.4094767427028654	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.40374762007655657	0.36750692145091096	0.2047383713514327	1.0	0.7499999999999999	3.0	0.0
phylum	39	3.6135812737402255	1803.2005910059563	0.5595344770321703	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	1.1037364353939036	0.7961775408956233	0.27976723851608515	1.0	1.0	4.0	0.0
phylum	0	3.6135812737402255	1803.2005910059563	0.004146651169089345	1.0	1.0	1.0	1.0	0.0	0.0	5.0	1.0	0.050463772974878036	0.03135490507897695	0.0020733255845446726	1.0	1.0	5.0	0.0
phylum	8	3.6135812737402255	1803.2005910059563	0.5615473213986096	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.8095074478240727	0.5029752571192886	0.2807736606993048	1.0	1.0	5.0	0.0
phylum	7	3.6135812737402255	1803.2005910059563	0.05336947891115223	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.2494707847126243	0.17995513197579066	0.026684739455576114	1.0	1.0	4.0	0.0
phylum	63	3.6135812737402255	1803.2005910059563	0.1075465863057929	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.8101059071214916	0.5843678873995155	0.053773293152896445	1.0	1.0	4.0	0.0
phylum	62	3.6135812737402255	1803.2005910059563	0.15658317048764384	1.0	1.0	1.0	4.0	0.0	0.0	5.0	1.0	0.896971700491697	0.5573198528268324	0.07829158524382192	1.0	1.0	5.0	0.0
phylum	61	3.6135812737402255	1803.2005910059563	0.22472669191871808	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.8201219179329559	0.5095703982097765	0.11236334595935904	1.0	1.0	5.0	0.0
phylum	60	3.6135812737402255	1803.2005910059563	0.11362703557121455	0.8	1.0	0.888888888888889	3.0	0.0	1.0	4.0	0.8	0.6079664502230381	0.43855509138182197	0.056813517785607275	1.0	0.888888888888889	4.0	0.0
phylum	6	3.6135812737402255	1803.2005910059563	0.4411023891706483	1.0	1.0	1.0	3.0	0.0	0.0	6.0	0.8333333333333334	0.9200302670522775	0.513478668790658	0.22055119458532416	0.8333333333333334	0.9090909090909091	5.0	1.0
phylum	59	3.6135812737402255	1803.2005910059563	0.10330440136270604	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.6184817585643437	0.44614028298053193	0.05165220068135302	1.0	1.0	4.0	0.0
phylum	58	3.6135812737402255	1803.2005910059563	0.07055156931623417	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.6955472049218515	0.5017312516224675	0.03527578465811708	1.0	1.0	4.0	0.0
phylum	57	3.6135812737402255	1803.2005910059563	0.020439417863987053	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.7112635144678618	0.5130681725440199	0.010219708931993527	1.0	1.0	4.0	0.0
phylum	56	3.6135812737402255	1803.2005910059563	1.1393033994203707	0.75	1.0	0.8571428571428571	2.0	0.0	1.0	3.0	0.75	0.6499109283761529	0.5915744208214393	0.5696516997101854	1.0	0.8571428571428571	3.0	0.0
phylum	55	3.6135812737402255	1803.2005910059563	1.2285982049796595	0.8	1.0	0.888888888888889	2.0	0.0	1.0	4.0	0.8	0.5670949790557609	0.4090725569983884	0.6142991024898298	1.0	0.888888888888889	4.0	0.0
phylum	54	3.6135812737402255	1803.2005910059563	0.7433364280015698	0.75	1.0	0.8571428571428571	2.0	0.0	1.0	3.0	0.75	0.5117463718886137	0.46581162177698165	0.371668214000785	1.0	0.8571428571428571	3.0	0.0
phylum	53	3.6135812737402255	1803.2005910059563	0.9194352609537844	0.8	1.0	0.888888888888889	3.0	0.0	1.0	4.0	0.8	0.45015648467909003	0.3247192640352659	0.45971763047689224	1.0	0.888888888888889	4.0	0.0
phylum	52	3.6135812737402255	1803.2005910059563	0.6187017876716657	1.0	1.0	1.0	3.0	0.0	0.0	5.0	0.8	0.9528198482427845	0.5920202580550298	0.30935089383583286	0.8	0.888888888888889	4.0	1.0
phylum	51	3.6135812737402255	1803.2005910059563	0.6050675434601253	1.0	1.0	1.0	3.0	0.0	0.0	6.0	0.8333333333333334	1.1025689570345818	0.6153554514265257	0.30253377173006263	0.8333333333333334	0.9090909090909091	5.0	1.0
phylum	5	3.6135812737402255	1803.2005910059563	0.6812726343048554	0.8	1.0	0.888888888888889	3.0	0.0	1.0	4.0	0.8	1.0742834521531544	0.7749317044652159	0.3406363171524277	1.0	0.888888888888889	4.0	0.0
phylum	49	3.6135812737402255	1803.2005910059563	0.6296586070571101	0.8	1.0	0.888888888888889	2.0	0.0	1.0	4.0	0.8	0.546357683875263	0.39411376053921093	0.31482930352855504	1.0	0.888888888888889	4.0	0.0
phylum	48	3.6135812737402255	1803.2005910059563	0.2751794471107094	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	1.0307401483187264	0.6404348626035805	0.1375897235553547	1.0	1.0	5.0	0.0
phylum	47	3.6135812737402255	1803.2005910059563	0.03519333844486011	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.8647067312671425	0.5372725002851259	0.017596669222430056	1.0	1.0	5.0	0.0
phylum	46	3.6135812737402255	1803.2005910059563	0.5343142634531772	0.8333333333333334	1.0	0.9090909090909091	3.0	0.0	1.0	5.0	0.8333333333333334	0.5665030144101713	0.3519881133863666	0.2671571317265886	1.0	0.9090909090909091	5.0	0.0
phylum	45	3.6135812737402255	1803.2005910059563	1.1250636646244339	0.8	1.0	0.888888888888889	2.0	0.0	1.0	4.0	0.8	0.6460807240542293	0.46604872830349375	0.5625318323122169	1.0	0.888888888888889	4.0	0.0
phylum	44	3.6135812737402255	1803.2005910059563	0.2081281471004192	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.8624639072508973	0.6221362009682943	0.1040640735502096	1.0	1.0	4.0	0.0
phylum	43	3.6135812737402255	1803.2005910059563	0.22640826540691425	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	0.8505487096308371	0.6135412027094578	0.11320413270345714	1.0	1.0	4.0	0.0
phylum	42	3.6135812737402255	1803.2005910059563	0.18987272972283026	1.0	1.0	1.0	3.0	0.0	0.0	4.0	1.0	1.0398335018385385	0.7500813182263322	0.09493636486141514	1.0	1.0	4.0	0.0
phylum	41	3.6135812737402255	1803.2005910059563	0.10841382888829515	1.0	1.0	1.0	3.0	0.0	0.0	5.0	1.0	0.43884720731364957	0.27267110083789486	0.054206914444147575	1.0	1.0	5.0	0.0
